33	40	23
33	41	23
34	42	23
33	42	23
32	43	23
34	43	23
33	43	23
34	45	23
33	45	23
33	45	22
34	45	22
32	45	23
32	44	23
34	46	28
36	46	28
35	46	28
35	46	27
36	46	29
32	49	29
34	48	29
34	48	27
35	47	28
35	48	28
34	48	28
33	48	28
33	48	27
32	48	27
32	49	27
32	49	28
32	48	28
31	49	29
31	49	28
31	49	27
31	48	29
31	48	28
31	49	26
30	49	26
32	49	26
31	49	25
33	50	28
33	49	28
35	45	25
35	47	25
35	46	25
35	45	26
35	46	26
35	48	26
35	47	26
32	46	27
33	46	27
34	46	26
34	46	27
32	47	27
33	47	25
34	47	26
33	47	26
32	47	26
31	47	27
30	45	26
30	45	27
30	46	27
30	47	27
30	47	28
30	48	28
29	44	27
30	44	27
32	50	29
34	48	30
35	49	22
36	49	22
36	48	22
36	48	21
36	47	21
36	48	23
35	48	23
36	47	23
36	47	22
35	48	24
34	48	24
34	49	24
35	47	22
35	47	23
35	47	24
34	46	22
34	47	22
33	47	24
33	48	24
33	48	23
33	48	22
27	46	28
26	46	28
26	47	28
28	46	28
25	47	28
25	48	28
28	46	29
27	46	29
28	45	29
29	48	29
29	47	29
28	47	27
28	45	27
28	46	27
29	46	27
29	47	27
29	47	28
27	46	27
33	47	23
32	47	23
23	27	37
23	27	38
21	27	37
22	26	38
21	27	38
21	26	38
21	25	37
21	25	38
22	27	38
21	27	36
22	25	35
22	25	36
22	26	36
23	27	36
23	26	36
24	26	36
25	26	36
26	26	36
26	25	37
26	25	36
27	24	36
28	25	36
27	25	36
28	24	36
28	23	36
26	26	37
21	25	34
25	27	37
25	28	36
25	27	36
22	27	35
22	27	34
25	27	34
25	27	35
23	27	34
24	27	34
23	28	34
24	27	35
24	27	36
22	28	33
22	27	33
22	25	34
22	26	34
23	31	35
23	30	35
23	30	34
22	30	34
23	29	35
23	29	34
22	25	33
17	32	24
17	32	25
17	31	24
17	33	24
17	34	24
18	33	25
18	32	25
18	32	24
17	34	27
17	34	26
17	33	28
17	33	27
16	33	28
18	31	28
18	32	28
18	33	28
16	32	28
19	32	27
18	33	27
19	34	27
19	33	27
18	33	26
12	36	22
12	36	21
10	33	23
11	33	23
11	33	24
10	34	21
10	34	22
10	34	23
11	34	23
10	35	20
10	35	22
10	35	21
9	34	22
15	37	20
14	37	20
12	34	21
12	35	21
13	35	21
13	35	22
13	36	21
14	35	20
15	35	21
14	35	21
14	36	22
14	35	22
14	36	20
11	35	21
11	35	20
10	34	18
11	34	18
11	34	19
10	34	19
10	35	19
10	33	19
11	34	20
11	33	21
11	34	21
11	34	22
11	32	21
12	32	20
12	32	21
9	35	18
10	35	18
13	34	19
12	34	19
12	34	20
14	35	19
13	35	19
13	36	19
13	37	19
12	36	20
12	36	19
12	42	20
22	23	32
21	23	33
20	23	33
21	23	32
20	19	33
19	20	33
20	20	32
19	20	32
20	22	33
20	21	33
20	20	33
19	20	35
19	20	34
20	20	36
19	21	36
19	20	36
19	20	37
19	21	37
19	22	37
21	22	32
21	22	33
21	20	35
21	21	35
21	22	34
21	21	34
22	23	39
21	23	38
22	23	38
21	22	37
21	23	37
20	23	37
19	23	37
18	23	37
18	25	37
19	25	37
18	24	37
18	25	36
18	24	36
20	24	37
19	24	37
19	24	36
18	23	32
19	22	33
19	23	33
19	23	32
19	21	33
19	18	38
19	18	37
19	19	38
19	19	37
20	19	38
13	35	23
12	35	23
11	35	23
15	35	23
14	35	23
14	34	23
16	35	23
11	35	24
11	38	23
11	38	24
11	36	24
11	37	24
10	38	24
10	37	24
24	40	33
22	39	30
22	38	30
23	38	30
22	38	31
21	38	31
22	37	31
22	37	32
23	39	32
22	38	32
22	39	32
22	39	31
24	39	33
24	39	34
24	40	31
24	39	31
24	39	32
24	40	32
24	37	31
23	37	31
24	38	30
24	38	31
24	38	33
23	38	34
23	38	33
23	38	32
23	37	32
22	38	33
22	39	33
25	39	33
25	39	34
25	38	34
26	38	34
24	34	32
24	35	32
24	34	31
24	34	30
23	33	30
23	34	30
24	36	32
24	37	32
22	36	32
23	36	32
20	26	27
22	24	33
20	25	32
19	24	32
21	25	33
21	24	33
20	24	32
21	24	32
19	26	28
19	25	30
19	26	30
19	26	29
19	27	30
20	28	28
20	27	28
20	26	28
20	29	28
21	30	28
20	30	28
